entry_id,structure_file,structure_provenance,compound_name,system_class,formula,metal_center,metal_ox_state,d_electron_count,ligand_set,point_group,geometry_source,method,software,basis_set,relativistic_treatment,soc_included,ss_included,active_space_nel,active_space_norb,active_space_orbital_description,active_space_protocol,multiplicities_studied,nroots_per_mult,ground_state_mult,electronic_structure_description,Other,reference_short,reference_doi,year,notes,correlation_correction,entry_type,mining_model,open_access,removed_reason,removed_at
W4223990773-a,,,"benchmark set of small and medium-sized organic molecules from the QUEST database (three to six non-hydrogen atoms), vertical excitation energies at CASPT3 versus CASPT2",molecule,,none,,,,,geometries and theoretical best estimates for the vertical excitation energies taken from the QUEST database (available at the QUESTDB website),"single-state CASPT2 and CASPT3, in the frozen-core approximation, using the RS2 and RS3 schemes",MOLPRO,aug-cc-pVTZ,,,,,,"active spaces are chosen per system and per transition, described exhaustively for each symmetry representation in the supplementary material rather than in the main text","one active space per system and transition, given per symmetry representation in the supplementary material. For the challenging transitions the active space was steadily enlarged to check convergence of the excitation energy. Relative to the group's earlier CASPT2 benchmark, the active spaces of acrolein, pyrimidine and pyridazine were slightly reduced to make the CASPT3 calculations technically achievable.",1; 3,,,"Context from the authors' preceding study: an exhaustive benchmark of CASPT2 and NEVPT2 over 280 excited states of diverse character (singlet, triplet, valence, Rydberg, n->pi*, pi->pi* and double excitations) in 35 small and medium organic molecules with aug-cc-pVTZ, whose conclusion was that CASPT2 with an IPEA shift and partially contracted NEVPT2 both give fairly reliable vertical transition energies with slight overestimation. The present work extends that comparison to third order. The IPEA shift, though it can improve agreement with experiment, is noted as not systematically justified and significantly basis-set dependent.",,"Boggio-Pasqua, Jacquemin, Loos, Benchmarking CASPT3 Vertical Excitation Energies",10.1063/5.0095887,2022,"QUEST-ADJACENT: this benchmark takes its geometries and reference values from the QUEST database, so it should be treated like a QUEST-series paper at the export boundary into claude-casscf, where QUEST is a held-out benchmark (see the repository CLAUDE.md and the QUEST-leak memory). Condensed into one row: active_space_nel and active_space_norb are left EMPTY because the spaces vary per molecule, per transition and per symmetry representation and live entirely in the supplementary material, which was not retrievable.",CASPT2; CASPT3,llm_mining,claude-opus-5,yes,'benchmark set ... from the QUEST database' (QUEST-adjacent),2026-08-19T18:17:28+00:00
W7127388796-c,,,"benchmark set of 14 doubly and triply charged transition-metal ions, state-averaged excitation energies",atom,14 TM ions in 2+ and 3+ charge states,various first-row transition metals,,,,,,"renormalized internally contracted multireference coupled cluster with singles and doubles (RIC-MRCCSD) in a spin-free formulation, needing no reduced density matrices or cumulants beyond three-body; compared against NEVPT2, approximate fourth-order NEVPT4(SD), multireference CEPA(0) and Koehn's IC-MRCCSD",ORCA (Evangelista's Wick&d equation generator combined with ORCA's native AGE code generator),def2-SVP,,,,,,"two active space sizes were compared: the 3d orbitals alone, and 3d plus 4d (the double-shell)",,,,,"Errors in excitation energies relative to experiment, shown as violin plots against other multireference methods. Increasing the flow parameter s consistently reduces both the MAD and the spread, as expected since larger s recovers more dynamic correlation - at the cost of numerical robustness, with s = 0.5 Eh^-2 failing to converge. At the largest convergent value, s = 0.4 Eh^-2, RIC-MRCCSD accuracy with the 3d-only space lies between NEVPT2 and NEVPT4. Adding the 4d orbitals reduces the error further, with RIC-MRCCSD then even beating IC-MRCC on MAD - but the authors qualify this: the double-shell effect is traditionally invoked to compensate for missing dynamic correlation and should ideally not be needed by a high-accuracy multireference method, and indeed most standard MR methods barely change when the space is expanded.",,"Szenes, Kayal, Sivalingam, Feldmann, Neese, Reiher, Efficient Implementation of the Spin-Free Renormalized Internally-Contracted Multireference Coupled Cluster Theory, J. Phys. Chem. A 2026, 130, 1417-1432",10.1021/acs.jpca.5c07588,2026,"Free atomic ions, in scope under the no-exclusions-by-system-class rule. active_space_nel/norb are left empty: the paper describes the two spaces only as '3d' and '3d + 4d' and states no electron or orbital counts, which vary across the fourteen ions anyway.",NEVPT2; MRCC,llm_mining,claude-opus-5,yes,'benchmark set of 14 doubly and triply charged transition-metal ions',2026-08-19T18:17:28+00:00
W4417077926-a,,,"set of organic molecules, valence singlet and triplet excitation energies from RAS(h,p) with second-order perturbative corrections",molecule,,none,,,,,not stated in the main text read,"restricted active space configuration interaction in the hole and particle approximation, RAS(h,p) - the full CI within RAS2 plus all configurations with one hole in RAS1 and one electron in RAS3 - corrected at second order by Epstein-Nesbet (EN) and Davidson-Kapuy (DK) partitionings, with and without an energy level shift; benchmarked against NEVPT2 and literature reference data",Q-Chem 6.0.1,several basis sets compared; the DK correction is shown to depend weakly on basis set,,,,,,"RAS1, RAS2 and RAS3 subspaces in the hole-and-particle truncation; per-molecule spaces are not given in the main text",,1; 3,,,"RAS(h,p) lacks effective dynamic correlation and systematically overestimates singlet excitation energies by about 0.8 eV, with much smaller errors for triplets. Epstein-Nesbet perturbation gives only marginal improvement and increases the statistical scatter; Davidson-Kapuy gives a more consistent correction but tends to overcompensate, and adding an energy level shift to the DK partition removes that bias. Decomposing the correction shows that the dominant contribution comes from terms resembling a state-specific orbital relaxation through singles, while the more expensive 1h2p and 2h2p terms matter little - which the authors read as a route to cheaper targeted perturbative schemes. Because the DK-based corrections depend only weakly on the basis set, a composite strategy works: large-basis RAS(h,p) energies combined with small-basis DK-plus-shift corrections give significant savings at minimal accuracy cost.",,"Perumal Marisami & Casanova, Assessing Second-Order Perturbative Corrections to Restricted Active Space CI for Valence Excitations in Organic Molecules, J. Phys. Chem. A 2025, 129, 11736-11748",10.1021/acs.jpca.5c06818,2025,"Benchmark paper condensed into one row. active_space_nel and active_space_norb are left EMPTY: RAS(h,p) spaces are defined by the RAS1/RAS2/RAS3 partition rather than a single (nel,norb) pair, and the per-molecule partitions are not stated in the main text. software and geometry_source are likewise not named there.",NEVPT2,llm_mining,claude-opus-5,yes,'set of organic molecules',2026-08-19T18:17:28+00:00
W2527457461-b,,,Thiel benchmark set of organic molecules: ground and excited states recomputed with and without the IPEA shift,molecule,the organic molecules of the Thiel benchmark set,none,,,,,the same MP2/6-31G*-optimized geometries as the original Thiel-set publication,"CASSCF followed by CASPT2 with both the NOIPEA and the IPEA-shifted (eps = 0.25 a.u.) zeroth-order Hamiltonians, including the MS-CASPT2 variant and level shifts where the original work used them",MOLCAS 8.0.15-05-24,"TZVP, as in the original publication",,,,,,the same active spaces as the original Thiel-set publication; not restated in this paper,"all CASSCF/CASPT2 parameters were taken over unchanged from the original Thiel-set study - the active spaces, the number of states per irreducible representation, the level shift for some molecules, and the use of the multi-state variant - so that only the IPEA shift differs between the two sets of results",1; 3,,,"A literature survey of 356 excited states of 53 organic molecules computed with CASPT2 before the IPEA shift was introduced gives a mean signed error against experiment of only -0.02 eV; restricting to states where both experiment and theory are gas phase (295 states) leaves -0.03 eV. The authors' own IPEA-shifted MS-CASPT2 calculations reproduce nearly all the excitation energies of the original Thiel-set study, and the discussion is then based exclusively on their own consistent numbers. The expectation from the shift's own rationale - that closed-shell ground states with singly excited states should be underestimated by 0.13-0.26 eV - is not borne out by the survey.",,"Zobel, Nogueira & Gonzalez, The IPEA dilemma in CASPT2, Chem. Sci. 2017",10.1039/c6sc03759c,2016,"Second data set of the same paper; the di-/triatomic FCI benchmark is row -a. nel/norb are left EMPTY: the active spaces are inherited from the original Thiel-set publication and are not restated here, so they differ per molecule and cannot be read off this paper.",CASPT2,llm_mining,claude-opus-5,yes,'Thiel benchmark set of organic molecules',2026-08-19T18:17:28+00:00
W2986990020-c,,,Thiel benchmark set of small to medium organic compounds: vertical energy gap between the ground state and the first excited singlet,molecule,"the organic molecules of Thiel's benchmark set, minus ethene and cyclopropene",none,,,,,ground-state geometries of Thiel's benchmark set,"extended dynamically weighted CASPT2 (XDW-CASPT2), a new zeroth-order Hamiltonian partitioning that interpolates between state-specific and state-averaged Fock operators through a dynamical weighting parameter zeta; compared throughout against SA-CASSCF, single-state CASPT2, MS-CASPT2 and XMS-CASPT2","a development branch of OpenMolcas, version v18.09-617-g5a96a25e",as in Thiel's benchmark set (TZVP),,,,,,"the active spaces of Thiel's benchmark set, which differ from molecule to molecule and are not restated here","the molecules were taken from Thiel's benchmark set, excluding ethene and cyclopropene because no singlet excited state was considered for those two; the first singlet vertical energy gap was computed with XDW-CASPT2 and compared with MS-CASPT2",1,,1,"When the ground state and the first excited state are separated by more than zeta^(-1/2), the dynamical weighting leaves the two density matrices essentially unmixed and state-specific, the rotated reference states stay close to the originals, and XDW-CASPT2 should reproduce MS-CASPT2 accuracy - which is what this benchmark confirms. The same argument extends to model spaces larger than two provided all the states stay well separated; the difficult regime is many model states packed into a narrow energy window and interacting strongly at zeroth order, where the rotated states are linear combinations of the originals and the physical content of the Fock operator becomes hard to read off the weights.",,"Battaglia & Lindh, Extended Dynamically Weighted CASPT2: The Best of Two Worlds, J. Chem. Theory Comput. 2020, 16, 1555-1567",10.1021/acs.jctc.9b01129,2020,"Third of three test cases in this paper. nel/norb are left EMPTY: the active spaces are inherited from Thiel's benchmark set and are not restated, so they differ per molecule and cannot be read off this paper.",CASPT2,llm_mining,claude-opus-5,yes,'Thiel benchmark set of small to medium organic compounds',2026-08-19T18:17:28+00:00
W4399729459-a,,,"extended benchmark set of doubly excited states in small and medium organic molecules (QUEST double excitations, improved and extended)",molecule,small and medium organic molecules of the QUEST doubles set,none,,,,,ground-state geometries of the QUEST benchmark protocol,"CASSCF references followed by CASPT2 and CASPT3, both with and without the IPEA shift (default 0.25 Eh) and with a 0.3 a.u. level shift, plus partially contracted and strongly contracted NEVPT2; the Fock operator in the zeroth-order Hamiltonian is systematically built from the state-specific density. Benchmarked against selected-CI (CIPSI) and the high-order coupled cluster hierarchy EOM-CC3, EOM-CCSDT, EOM-CC4 and EOM-CCSDTQ, with the %T1 diagnostic from CC3/AVTZ used to classify a state as singly or doubly excited",molpro for the multiconfigurational calculations (dalton also used),"6-31+G*, aug-cc-pVDZ and aug-cc-pVTZ, with cc-pV5Z appearing for some systems",,,,,,"a separate active space per system, per symmetry representation and per transition; the full description is given in the Supporting Information","active spaces are chosen individually for each system, each symmetry representation and each transition, following the protocol of the authors' earlier work; the SI carries the complete listing. The paper stresses that careful selection is what makes doubly excited states reachable at manageable cost, and that 0.1-0.2 eV accuracy is achievable with appropriate spaces. Whether the 3s Rydberg orbital is included in the space materially changes the answer: leave it out and a single genuine double excitation appears, put it in and the doubly excited configuration mixes with the Rydberg one.",1; 3,,1,"For one of the difficult cases the two computed states at 7.979(40) and 8.170(41) eV from CIPSI agree well with the reference 7.979 and 8.185 eV. Both states carry important singly and doubly excited configurations, combined in phase for the lower state and out of phase for the upper one; the mixing is weak at CASSCF and becomes pronounced only after the perturbative correction. Enlarging the basis from 6-31+G* to aug-cc-pVDZ or aug-cc-pVTZ stabilizes the (n -> 3s) Rydberg configuration relative to the (n,n -> pi*,pi*) one and suppresses the strong mixing - 6-31+G* is simply too compact to model it. Downgrading to CC4 or CCSDT also unmixes the two configurations, giving one genuine double and one Rydberg single; oddly the mixing returns at CC3, but for the wrong reason.",,"Loos, Boggio-Pasqua, Jacquemin et al., Reference Energies for Double Excitations: Improvement and Extension",10.1021/acs.jctc.4c00410,2024,"QUEST-SERIES paper (the doubles subset of the QUEST database, extending 10.1021/acs.jctc.8b01205 which is already on the export-filter list), so this row must be dropped when exporting to casscf-agent's literature.csv. nel/norb are left EMPTY: the space differs per system, per symmetry and per transition, and the listing lives in the SI.",NEVPT2; CASPT2; CASPT3; CIPSI,llm_mining,claude-opus-5,yes,'extended benchmark set of doubly excited states' (QUEST-series),2026-08-19T18:17:28+00:00
W4416439388-a,,,Thiel's benchmark set of 28 closed-shell organic molecules: 223 vertical excitation energies evaluated with fourth-order NEVPT,molecule,the 28 closed-shell organic molecules of the Thiel benchmark set,none,,,,,the geometries of the original Thiel benchmark study,"approximate fourth-order N-electron valence perturbation theory, NEVPT4(SD): the fully internally contracted fourth-order NEVPT with the excitation space restricted to the first-order interacting space of internally contracted singles and doubles from the CASSCF reference, with the fourth-order renormalization terms dropped to keep size consistency in the absence of quadruples; compared against lower-order NEVPT variants, published CASPT2 results, and CC3 reference data",ORCA,TZVP,,,,,,"the active spaces of the earlier NEVPT study of Schapiro et al. on this benchmark set, chosen per molecule and not restated here","the protocol follows Schapiro et al., with state-averaged CASSCF used whenever several roots of the same symmetry are needed; although ORCA can state-average across different spatial and spin symmetries, the calculations were deliberately run separately per symmetry to allow direct comparison with the original work. Two protocols for the vertical energies: for excitations within the ground-state irreducible representation the ground-state energy comes from the state-averaged calculation, and a different route is used otherwise.",1; 3,,1,"Across 223 vertical excitation energies spanning pi -> pi*, n -> pi* and sigma -> pi* transitions in 28 molecules, NEVPT4(SD) systematically outperforms both the lower-order NEVPT variants and previously reported CASPT2 results, for singlets and triplets alike. The residual error is structured rather than random: n -> pi* transitions are overestimated by about 0.1 eV while pi -> pi* transitions are underestimated by about 0.04 eV. That shift persists at every NEVPT order but shrinks as the order increases.",,"Kempfer, Sivalingam & Neese, Evaluation of Approximate Fourth-Order N-Electron Valence Perturbation Theory (NEVPT4(SD)) for the Excited States of Organic Molecules, J. Chem. Theory Comput. 2025, 21, 12185",10.1021/acs.jctc.5c01685,2025,nel/norb are left EMPTY: the active spaces are inherited per molecule from Schapiro et al.'s earlier NEVPT study of the same benchmark set and are not restated in this paper.,NEVPT2; CASPT2,llm_mining,claude-opus-5,yes,'Thiel's benchmark set of 28 closed-shell organic molecules',2026-08-19T18:17:28+00:00
W4395677084-a,,,Schreiber (Thiel) benchmark set of organic molecules: correlated oscillator strengths and triplet excitation energies from adiabatic connection approaches on CAS wave functions,molecule,the organic molecules of the Schreiber et al. benchmark set,none,,,,,the geometries of the Schreiber et al. benchmark set,"adiabatic connection (AC) correlation energy methods AC0 and AC0D built on extended random phase approximation (ERPA) with complete active space reference wave functions, plus a new perturbation-corrected ERPA transition density matrix for the oscillator strengths; benchmarked against CASPT2, LR-CC2, LR-CCSD, CCSD and FCI values",Molpro,the basis sets of the Schreiber et al. benchmark protocol (TZVP),,,,,,complete active spaces per molecule as in the benchmark protocol; the methods are designed so that cost grows more slowly with the number of active orbitals than CASPT2 or NEVPT2 do,"state-averaged CASSCF reference states from the ground state up to the target state I are required for an AC0D excitation energy; because AC0 and AC0D depend only on reduced density matrices up to second order, they scale far better in the number of active orbitals than CASPT2 and NEVPT2, whose cost confines them in practice to roughly 20 active electrons",1; 3,,1,"Oscillator strengths computed from the perturbation-corrected ERPA transition density matrices, together with AC0 and AC0D excitation energies, match CASPT2 accuracy at lower cost, and the corrected transition dipole moments come essentially free because every intermediate is already available from the AC0 energy calculation. For triplet excitations on the Schreiber set, the deexcitation correction in AC0D genuinely improves on AC0, especially for the lowest excited states, where the accuracy becomes comparable to LR-CC2 and LR-CCSD - with the difference that AC0 and AC0D remain multireference methods. The perturbation-corrected transition density matrices also beat the uncorrected ERPA ones against CCSD and FCI in matching basis sets.",,"Drwal, Pernal & Pastorczak, Multireference Correlated Oscillator Strengths from Adiabatic Connection Approaches Based on Extended Random Phase Approximation, J. Chem. Theory Comput. 2024, 20, 3659-3668",10.1021/acs.jctc.4c00103,2024,nel/norb are left EMPTY: the active spaces come from the Schreiber et al. benchmark protocol and differ per molecule; they are not restated here.,CASPT2,llm_mining,claude-opus-5,yes,'Schreiber (Thiel) benchmark set of organic molecules',2026-08-19T18:17:28+00:00
W3110161356-a,,,"QUESTDB: the assembled QUEST database of highly accurate vertical excitation energies for small and medium organic molecules, including the double-excitation subset and systems as large as benzene",molecule,the organic molecules of the QUEST database,none,,,,,"the QUEST protocol geometries, per subset","state-averaged CASSCF followed by CASPT2 at the RS2 contraction level with a level shift of 0.3 a.u. and an IPEA shift of 0.25 a.u.; partially and strongly contracted NEVPT2, with PC-NEVPT2 run systematically for QUEST#3; multi-state variants used for the double-excitation subset. These sit alongside the selected-CI and coupled-cluster reference values that define the theoretical best estimates","MOLPRO for the CASSCF, CASPT2 and NEVPT2; DALTON, GAUSSIAN, ORCA and Q-CHEM for the other methods","aug-cc-pVDZ through aug-cc-pV5Z, with aug-cc-pVTZ as the standard reference basis; 6-31+G(d) for some subsets",,,,,,"large active spaces carefully chosen and tailored to the desired transitions; the definition for each system, together with the number of states in the state-averaged calculation, is given in the corresponding original publication rather than restated here","one tailored space per system and transition, with state averaging over the states of the same spin and spatial symmetry that are being targeted; CASPT2 with the standard level shift 0.3 and IPEA 0.25. PC-NEVPT2 is preferred over SC-NEVPT2 on theoretical grounds - more perturbers and greater flexibility - and was run systematically for QUEST#3.",1; 3,,1,"The TBEs/aug-cc-pVTZ assembled here benchmark a long list of lower-order wave function methods: CIS(D), ADC(2), CC2, STEOM-CCSD, CCSD, CCSDR(3), CCSDT-3, ADC(3), CC3, NEVPT2 and their spin-scaled variants. The accuracy of CASPT2 and NEVPT2 turns out to be the hardest to predict of any method in the set, because it depends on both the system and the chosen active space; the pattern that does emerge is that they are more accurate for transitions with a very small percentage of single-excitation character (error usually below 0.1 eV) than for the single-excitation-dominated ones, where the error approaches 0.1-0.2 eV. The whole data set is published through a website.",,"Veril, Scemama, Caffarel, Loos, Jacquemin et al., QUESTDB: a database of highly accurate excitation energies for the electronic structure community",10.1002/wcms.1517,2021,QUEST-SERIES paper - this is the database paper itself - so this row must be dropped when exporting to casscf-agent's literature.csv. nel/norb are left EMPTY: the spaces are per system and per transition and are documented in the individual QUEST publications rather than here.,NEVPT2; CASPT2,llm_mining,claude-opus-5,yes,QUESTDB database label (QUEST-series),2026-08-19T18:17:28+00:00
W4413906376-a,,,STGABS27 TADF emitter benchmark set,molecule,,none,,,,,,DFT/MRCI with a CASSCF-style initial reference selection,DFT/MRCI implementation,def2-SVP,,,,4,4,four frontier donor/acceptor orbitals used for the initial CI reference,"fixed (4,4) active space",,,,The benchmark assesses singlet-triplet gaps and emission energies for donor-acceptor and multiresonance TADF emitters.,The paper reports a common 4e/4o reference setting for the named STGABS27 set; individual molecules are not fabricated from figure labels that lack complete compound-level metadata.,On the performance of DFT/MRCI for singlet–triplet gaps and emission energies of thermally activated delayed fluorescence molecules,10.1039/d5cp01869b,2025,"Comprehensive main-text read: methods, explicit active-space construction, state treatment, results, tables/figures, and conclusions were checked; only an explicitly stated numerical (active electrons, active orbitals) pair was recorded, and unstated fields are left blank.",MRCI,llm_mining,gpt-5.6,yes,'STGABS27 TADF emitter benchmark set',2026-08-19T18:17:28+00:00
