doi,doi_link,title,year,host,oa_pdf_url,block_reason,openalex_key,detail
10.11648/j.ijctc.20231101.13,https://doi.org/10.11648/j.ijctc.20231101.13,Molecule-Adapted Gaussian Basis Sets Generated in Multi-Parallel Hartree-Fock Scheme,2023,article.sciencepg.com,https://article.sciencepg.com/pdf/10.11648.j.ijctc.20231101.13,no fetchable PDF and no Europe PMC full text,W4389682832,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1039/c3sc52984c,https://doi.org/10.1039/c3sc52984c,Theoretical study of the magnetic anisotropy and magnetic tunnelling in mononuclear Ni(ii) complexes with potential molecular magnet behavior,2013,cer.ihtm.bg.ac.rs,https://cer.ihtm.bg.ac.rs/handle/123456789/2912,"HTML landing page, not a PDF",W2009787285,ValueError: response is not a PDF (probably an HTML landing page)
10.1021/acs.jpcb.5c03283,https://doi.org/10.1021/acs.jpcb.5c03283,Tunable Spectral Properties and Excitonic Couplings of Bacteriochlorophyll-like Dimer Aggregates,2025,chemrxiv.org,https://chemrxiv.org/engage/chemrxiv/article-details/685d564d1a8f9bdab5fcaa20,HTTP 403 (publisher blocks scripted clients),W4412487526,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/chemrxiv/article-details/685d564d1a8f9bdab5fcaa20
10.26434/chemrxiv-2021-6csxm,https://doi.org/10.26434/chemrxiv-2021-6csxm,Excited-state distortions control the reactivities and regioselectivities of photochemical 4π-electrocyclizations of fluorobenzenes,2021,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/61a7f48e6d4e8f1aa2a6bb85/original/excited-state-distortions-control-the-reactivities-and-regioselectivities-of-photochemical-4p-electrocyclizations-of-fluorobenzenes.pdf,HTTP 403 (publisher blocks scripted clients),W4200421027,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/61a7f48e6d4e8f1aa2a6bb85/original/excited-state-distortions-control-the-reactivities-and-regioselectivities-of-photochemical-4p-electrocyclizations-of-fluorobenzenes.pdf
10.26434/chemrxiv-2021-9ww0c-v2,https://doi.org/10.26434/chemrxiv-2021-9ww0c-v2,Communication: Multi-reference Approach to the Computation of Double-Core-Hole Spectra,2021,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/60e77cd2b95bddddd4604574/original/communication-multi-reference-approach-to-the-computation-of-double-core-hole-spectra.pdf,HTTP 403 (publisher blocks scripted clients),W4234353272,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/60e77cd2b95bddddd4604574/original/communication-multi-reference-approach-to-the-computation-of-double-core-hole-spectra.pdf
10.26434/chemrxiv-2021-pjvv1,https://doi.org/10.26434/chemrxiv-2021-pjvv1,Machine-Learned Functionals for Strongly Correlated Systems,2021,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/60ce2e1bfca49046bfc811a8/original/machine-learned-functionals-for-strongly-correlated-systems.pdf,no fetchable PDF and no Europe PMC full text,W4244796928,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.26434/chemrxiv-2021-rk2lf,https://doi.org/10.26434/chemrxiv-2021-rk2lf,Computational Spectroscopy of the Cr–Cr Bond in Coordination Complexes,2021,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/618bf4bfe0ea847bfd921bca/original/computational-spectroscopy-of-the-cr-cr-bond-in-coordination-complexes.pdf,HTTP 403 (publisher blocks scripted clients),W3214560268,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/618bf4bfe0ea847bfd921bca/original/computational-spectroscopy-of-the-cr-cr-bond-in-coordination-complexes.pdf
10.26434/chemrxiv-2021-rk2lf-v2,https://doi.org/10.26434/chemrxiv-2021-rk2lf-v2,Computational Spectroscopy of the Cr–Cr Bond in Coordination Complexes,2021,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/61a8f88148e4bc2900f89426/original/computational-spectroscopy-of-the-cr-cr-bond-in-coordination-complexes.pdf,HTTP 403 (publisher blocks scripted clients),W4225671700,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/61a8f88148e4bc2900f89426/original/computational-spectroscopy-of-the-cr-cr-bond-in-coordination-complexes.pdf
10.26434/chemrxiv-2021-xtlzj,https://doi.org/10.26434/chemrxiv-2021-xtlzj,"Hydration dynamics gives the distinctive brown color in the ""brown ring"" nitrate test",2021,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6156f61caef99c9201089eeb/original/hydration-dynamics-gives-the-distinctive-brown-color-in-the-brown-ring-nitrate-test.pdf,no fetchable PDF and no Europe PMC full text,W4238777105,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.26434/chemrxiv-2022-14tkm,https://doi.org/10.26434/chemrxiv-2022-14tkm,Ring strain release and pseudo anti-aromaticities control photochemical reactivities in photoclick reactions,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/638ba261b103af8ddb09c127/original/ring-strain-release-and-pseudo-anti-aromaticities-control-photochemical-reactivities-in-photoclick-reactions-of-solvated-cyclopropenones.pdf,HTTP 403 (publisher blocks scripted clients),W4394190678,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/638ba261b103af8ddb09c127/original/ring-strain-release-and-pseudo-anti-aromaticities-control-photochemical-reactivities-in-photoclick-reactions-of-solvated-cyclopropenones.pdf
10.26434/chemrxiv-2022-1wjbt,https://doi.org/10.26434/chemrxiv-2022-1wjbt,Can range-separated functionals be optimally tuned to predict spectra and excited state dynamics in photoactive iron complexes?,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62c3e070f5193957d57ed591/original/can-range-separated-functionals-be-optimally-tuned-to-predict-spectra-and-excited-state-dynamics-in-photoactive-iron-complexes.pdf,HTTP 403 (publisher blocks scripted clients),W4284682720,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62c3e070f5193957d57ed591/original/can-range-separated-functionals-be-optimally-tuned-to-predict-spectra-and-excited-state-dynamics-in-photoactive-iron-complexes.pdf
10.26434/chemrxiv-2022-3c782,https://doi.org/10.26434/chemrxiv-2022-3c782,Regularized CASPT2: an intruder-state-free approach,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62555eb1ed4d88b74e07f792/original/regularized-caspt2-an-intruder-state-free-approach.pdf,HTTP 403 (publisher blocks scripted clients),W4223489197,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62555eb1ed4d88b74e07f792/original/regularized-caspt2-an-intruder-state-free-approach.pdf
10.26434/chemrxiv-2022-3c782-v2,https://doi.org/10.26434/chemrxiv-2022-3c782-v2,Regularized CASPT2: an intruder-state-free approach,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62b991f358b3d609d3611c13/original/regularized-caspt2-an-intruder-state-free-approach.pdf,HTTP 403 (publisher blocks scripted clients),W4283651169,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62b991f358b3d609d3611c13/original/regularized-caspt2-an-intruder-state-free-approach.pdf
10.26434/chemrxiv-2022-5v0tt,https://doi.org/10.26434/chemrxiv-2022-5v0tt,"Together, not separately, OH and O3 oxidize Hg(0) to Hg(II) in the atmosphere",2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62bb90b0f5193952db778b6a/original/together-not-separately-oh-and-o3-oxidize-hg-0-to-hg-ii-in-the-atmosphere.pdf,HTTP 403 (publisher blocks scripted clients),W4283697889,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62bb90b0f5193952db778b6a/original/together-not-separately-oh-and-o3-oxidize-hg-0-to-hg-ii-in-the-atmosphere.pdf
10.26434/chemrxiv-2022-8mc2h,https://doi.org/10.26434/chemrxiv-2022-8mc2h,A multiconfigurational approach to the electronic structure of electro-generated species of the Re2(μ- Ph2PCH2PPh2)(S2CNEt2)4 complex,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63274c9cea6a22436cf4d5d9/original/a-multiconfigurational-approach-to-the-electronic-structure-of-electro-generated-species-of-the-re2-ph2pch2p-ph2-s2cn-et2-4-complex.pdf,HTTP 403 (publisher blocks scripted clients),W4296349674,1 PDF location(s) + Europe PMC tried; HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63274c9cea6a22436cf4d5d9/original/a-multiconfigurational-approach-to-the-electronic-structure-of-electro-generated-species-of-the-re2-ph2pch
10.26434/chemrxiv-2022-8r90r,https://doi.org/10.26434/chemrxiv-2022-8r90r,Boronated Cyanometallates,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62c61961cd7a997651bb8fd3/original/boronated-cyanometallates.pdf,HTTP 403 (publisher blocks scripted clients),W4285801513,1 PDF location(s) + Europe PMC tried; HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62c61961cd7a997651bb8fd3/original/boronated-cyanometallates.pdf | no Europe PMC OA full text
10.26434/chemrxiv-2022-8r90r-v2,https://doi.org/10.26434/chemrxiv-2022-8r90r-v2,Boronated Cyanometallates,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62f30bca69f3a508d0b1f498/original/boronated-cyanometallates.pdf,HTTP 403 (publisher blocks scripted clients),W4292466591,1 PDF location(s) + Europe PMC tried; HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62f30bca69f3a508d0b1f498/original/boronated-cyanometallates.pdf | no Europe PMC OA full text
10.26434/chemrxiv-2022-b6078,https://doi.org/10.26434/chemrxiv-2022-b6078,Photoisomerization of phytochrome chromophore models: An XMS-CASPT2 study,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/631a14ca5351a31fd1f34fbb/original/photoisomerization-of-phytochrome-chromophore-models-an-xms-caspt2-study.pdf,HTTP 403 (publisher blocks scripted clients),W4297848954,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/631a14ca5351a31fd1f34fbb/original/photoisomerization-of-phytochrome-chromophore-models-an-xms-caspt2-study.pdf
10.26434/chemrxiv-2022-c6tz8,https://doi.org/10.26434/chemrxiv-2022-c6tz8,Impact of Spin-Phonon Coupling on MagneticRelaxation of a Co(II) Single-Molecule Magnet,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63181c790429d64d3e95708a/original/impact-of-spin-phonon-coupling-on-magnetic-relaxation-of-a-co-ii-single-molecule-magnet.pdf,no fetchable PDF and no Europe PMC full text,W4294927704,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.26434/chemrxiv-2022-cz4fr,https://doi.org/10.26434/chemrxiv-2022-cz4fr,Multi-Reference Approach to Normal andResonant Auger Spectra Based on theOne-Center Approximation,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62305644702f04ffa4bcc7e5/original/multi-reference-approach-to-normal-and-resonant-auger-spectra-based-on-the-one-center-approximation.pdf,HTTP 403 (publisher blocks scripted clients),W4220757830,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62305644702f04ffa4bcc7e5/original/multi-reference-approach-to-normal-and-resonant-auger-spectra-based-on-the-one-center-approximation.pdf
10.26434/chemrxiv-2022-j0rbs,https://doi.org/10.26434/chemrxiv-2022-j0rbs,An Air- and Moisture-stable Zinc(II) Carbene Dithiolate Dimer Showing Fast TADF and Dexter Energy Transfer Catalysis,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/635fba2f311072753ff6ec11/original/an-air-and-moisture-stable-zinc-ii-carbene-dithiolate-dimer-showing-fast-tadf-and-dexter-energy-transfer-catalysis.pdf,HTTP 403 (publisher blocks scripted clients),W4308010793,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/635fba2f311072753ff6ec11/original/an-air-and-moisture-stable-zinc-ii-carbene-dithiolate-dimer-showing-fast-tadf-and-dexter-energy-transfer-catalysis.pdf
10.26434/chemrxiv-2022-ls796,https://doi.org/10.26434/chemrxiv-2022-ls796,Multiconfiguration Pair-Density Functional Theory for Chromium(IV) Molecular Qubits,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62744531809e32c78b84b98d/original/multiconfiguration-pair-density-functional-theory-for-chromium-iv-molecular-qubits.pdf,HTTP 403 (publisher blocks scripted clients),W4229042550,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62744531809e32c78b84b98d/original/multiconfiguration-pair-density-functional-theory-for-chromium-iv-molecular-qubits.pdf
10.26434/chemrxiv-2022-ntlhr,https://doi.org/10.26434/chemrxiv-2022-ntlhr,The Involvement of Triplet State in the Isomerization of Retinaloids,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62e14790a8e4dc14f91f2146/original/the-involvement-of-triplet-state-in-the-isomerization-of-retinaloids.pdf,HTTP 403 (publisher blocks scripted clients),W4288080466,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62e14790a8e4dc14f91f2146/original/the-involvement-of-triplet-state-in-the-isomerization-of-retinaloids.pdf
10.26434/chemrxiv-2022-rrrpn,https://doi.org/10.26434/chemrxiv-2022-rrrpn,"Nanoclusters and Nanoalloys of Group 13elements B, Al, and Ga: Benchmark,structure, and property analysis",2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/635ee6abac45c7fd119e9b49/original/nanoclusters-and-nanoalloys-of-group-13-elements-b-al-and-ga-benchmark-structure-and-property-analysis.pdf,HTTP 403 (publisher blocks scripted clients),W4307861599,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/635ee6abac45c7fd119e9b49/original/nanoclusters-and-nanoalloys-of-group-13-elements-b-al-and-ga-benchmark-structure-and-property-analysis.pdf
10.26434/chemrxiv-2022-w1t0g,https://doi.org/10.26434/chemrxiv-2022-w1t0g,"Analytic First-Order Derivatives of (X)MS-, XDW-, and RMS-CASPT2 Methods",2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62416c1d2c5010fbfa8b9a67/original/analytic-first-order-derivatives-of-x-ms-xdw-and-rms-caspt2-methods.pdf,HTTP 403 (publisher blocks scripted clients),W4220877839,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62416c1d2c5010fbfa8b9a67/original/analytic-first-order-derivatives-of-x-ms-xdw-and-rms-caspt2-methods.pdf
10.26434/chemrxiv-2022-w1t0g-v2,https://doi.org/10.26434/chemrxiv-2022-w1t0g-v2,"Analytic First-Order Derivatives of (X)MS, XDW, and RMS Variants of the CASPT2 and RASPT2 Methods",2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/628f113c6cae1c9c2118002b/original/analytic-first-order-derivatives-of-x-ms-xdw-and-rms-variants-of-the-caspt2-and-raspt2-methods.pdf,HTTP 403 (publisher blocks scripted clients),W4281568148,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/628f113c6cae1c9c2118002b/original/analytic-first-order-derivatives-of-x-ms-xdw-and-rms-variants-of-the-caspt2-and-raspt2-methods.pdf
10.26434/chemrxiv-2022-w3x91,https://doi.org/10.26434/chemrxiv-2022-w3x91,Multiconfigurational calculations and photodynamics describe norbornadiene photochemistry,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/637b987f08212917e1ff8a0a/original/multiconfigurational-calculations-and-photodynamics-describe-norbornadiene-photochemistry.pdf,no fetchable PDF and no Europe PMC full text,W4309698326,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.26434/chemrxiv-2022-xg8zw,https://doi.org/10.26434/chemrxiv-2022-xg8zw,The Impact of the Different Geometrical Restrictions on the Nonadiabatic Photoisomerization of Biliverdin Chromophore,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62bbabcb13b85bbc5237bf46/original/the-impact-of-the-different-geometrical-restrictions-on-the-nonadiabatic-photoisomerization-of-biliverdin-chromophore.pdf,HTTP 403 (publisher blocks scripted clients),W4283729022,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62bbabcb13b85bbc5237bf46/original/the-impact-of-the-different-geometrical-restrictions-on-the-nonadiabatic-photoisomerization-of-biliverdin-chromophore.pdf
10.26434/chemrxiv-2022-zm9hv,https://doi.org/10.26434/chemrxiv-2022-zm9hv,Algorithm for Analytic Nuclear Energy Gradients of State Averaged DMRG-CASSCF Theory with Newly Derived Coupled-Perturbed Equations,2022,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63474b761f323daea157fac9/original/algorithm-for-analytic-nuclear-energy-gradients-of-state-averaged-dmrg-casscf-theory-with-newly-derived-coupled-perturbed-equations.pdf,HTTP 403 (publisher blocks scripted clients),W4304891434,1 PDF location(s) + Europe PMC tried; HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63474b761f323daea157fac9/original/algorithm-for-analytic-nuclear-energy-gradients-of-state-averaged-dmrg-casscf-theory-with-newly-derived-co
10.26434/chemrxiv-2023-0v6k8,https://doi.org/10.26434/chemrxiv-2023-0v6k8,New Density Matrix Renormalization GroupApproaches for Strongly Correlated SystemsCoupled with Large Environments,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/646ae512fb40f6b3eef6f660/original/new-density-matrix-renormalization-group-approaches-for-strongly-correlated-systems-coupled-with-large-environments.pdf,HTTP 403 (publisher blocks scripted clients),W4378652166,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/646ae512fb40f6b3eef6f660/original/new-density-matrix-renormalization-group-approaches-for-strongly-correlated-systems-coupled-with-large-environments.pdf
10.26434/chemrxiv-2023-13cv6,https://doi.org/10.26434/chemrxiv-2023-13cv6,Neural Network Potentials for Reactive Chemistry: CASPT2 Quality Potential Energy Surfaces for Bond Breaking,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6452ce3e27fccdb3ea725259/original/neural-network-potentials-for-reactive-chemistry-caspt2-quality-potential-energy-surfaces-for-bond-breaking.pdf,HTTP 403 (publisher blocks scripted clients),W4368371365,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6452ce3e27fccdb3ea725259/original/neural-network-potentials-for-reactive-chemistry-caspt2-quality-potential-energy-surfaces-for-bond-breaking.pdf
10.26434/chemrxiv-2023-2vk8w,https://doi.org/10.26434/chemrxiv-2023-2vk8w,"Synthesis, Structural Characterization and Phosphorescence Properties of Trigonal Zn(II) Carbene Complexes",2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/64df8d8200bbebf0e6661f0b/original/synthesis-structural-characterization-and-phosphorescence-properties-of-trigonal-zn-ii-carbene-complexes.pdf,HTTP 403 (publisher blocks scripted clients),W4386050887,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/64df8d8200bbebf0e6661f0b/original/synthesis-structural-characterization-and-phosphorescence-properties-of-trigonal-zn-ii-carbene-complexes.pdf
10.26434/chemrxiv-2023-5vf9x,https://doi.org/10.26434/chemrxiv-2023-5vf9x,Local N-electron valence state perturbation theory using pair-natural orbitals based on localized virtual molecular orbitals,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63cfb8cb1a1ead3066b5d7d3/original/local-n-electron-valence-state-perturbation-theory-using-pair-natural-orbitals-based-on-localized-virtual-molecular-orbitals.pdf,HTTP 403 (publisher blocks scripted clients),W4317910625,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63cfb8cb1a1ead3066b5d7d3/original/local-n-electron-valence-state-perturbation-theory-using-pair-natural-orbitals-based-on-localized-virtual-molecular-orbitals.pdf
10.26434/chemrxiv-2023-5w45b,https://doi.org/10.26434/chemrxiv-2023-5w45b,Molecular Geometry and Electronic Structure of Copper Corroles,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/646fb076be16ad5c57e83cd3/original/molecular-geometry-and-electronic-structure-of-copper-corroles.pdf,HTTP 403 (publisher blocks scripted clients),W4378619123,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/646fb076be16ad5c57e83cd3/original/molecular-geometry-and-electronic-structure-of-copper-corroles.pdf
10.26434/chemrxiv-2023-9z6bg,https://doi.org/10.26434/chemrxiv-2023-9z6bg,Chelate Complexes of 3d Transition Metal Ions – A Challenge for Electronic-Structure Methods?,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6570363729a13c4d47c44f7c/original/chelate-complexes-of-3d-transition-metal-ions-a-challenge-for-electronic-structure-methods.pdf,HTTP 403 (publisher blocks scripted clients),W4389441261,1 PDF location(s) + Europe PMC tried; HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6570363729a13c4d47c44f7c/original/chelate-complexes-of-3d-transition-metal-ions-a-challenge-for-electronic-structure-methods.pdf | no Europe
10.26434/chemrxiv-2023-cf93b,https://doi.org/10.26434/chemrxiv-2023-cf93b,Experimental and Theoretical Studies of Hyperthermal N + O2 Collisions,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/64a54e12ba3e99daef8d5caa/original/experimental-and-theoretical-studies-of-hyperthermal-n-o2-collisions.pdf,HTTP 403 (publisher blocks scripted clients),W4383346474,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/64a54e12ba3e99daef8d5caa/original/experimental-and-theoretical-studies-of-hyperthermal-n-o2-collisions.pdf
10.26434/chemrxiv-2023-fcl8s,https://doi.org/10.26434/chemrxiv-2023-fcl8s,Predicting Magnetic Coupling and Spin-Polarization Energy in Triangulene Analogues,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63ee6184fcfb27a31fe5dd9f/original/predicting-magnetic-coupling-and-spin-polarization-energy-in-triangulene-analogues.pdf,HTTP 403 (publisher blocks scripted clients),W4321252641,1 PDF location(s) + Europe PMC tried; HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63ee6184fcfb27a31fe5dd9f/original/predicting-magnetic-coupling-and-spin-polarization-energy-in-triangulene-analogues.pdf | no Europe PMC OA 
10.26434/chemrxiv-2023-gl5w4,https://doi.org/10.26434/chemrxiv-2023-gl5w4,Analytic First-Order Derivatives of CASPT2 with IPEA shift,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63ef043b1d2d1840639fd42b/original/analytic-first-order-derivatives-of-caspt2-with-ipea-shift.pdf,HTTP 403 (publisher blocks scripted clients),W4321225521,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63ef043b1d2d1840639fd42b/original/analytic-first-order-derivatives-of-caspt2-with-ipea-shift.pdf
10.26434/chemrxiv-2023-gl5w4-v2,https://doi.org/10.26434/chemrxiv-2023-gl5w4-v2,Analytic First-Order Derivatives of CASPT2 with IPEA shift,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6437c1b41d262d40ea602ae8/original/analytic-first-order-derivatives-of-caspt2-with-ipea-shift.pdf,HTTP 403 (publisher blocks scripted clients),W4365452631,HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/6437c1b41d262d40ea602ae8/original/analytic-first-order-derivatives-of-caspt2-with-ipea-shift.pdf
10.26434/chemrxiv-2023-h7tsp,https://doi.org/10.26434/chemrxiv-2023-h7tsp,Identification of New Inverted Singlet-Triplet Cores by High--Throughput Virtual Screening,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/646dc5e8b3dd6a6530a5c193/original/identification-of-new-inverted-singlet-triplet-cores-by-high-throughput-virtual-screening.pdf,HTTP 403 (publisher blocks scripted clients),W4378232194,1 PDF location(s) + Europe PMC tried; HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/646dc5e8b3dd6a6530a5c193/original/identification-of-new-inverted-singlet-triplet-cores-by-high-throughput-virtual-screening.pdf | no Europe 
10.26434/chemrxiv-2023-h7tsp-v2,https://doi.org/10.26434/chemrxiv-2023-h7tsp-v2,Identification of New Inverted Singlet-Triplet Cores by High--Throughput Virtual Screening,2023,chemrxiv.org,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/646efb89be16ad5c57df9820/original/identification-of-new-inverted-singlet-triplet-cores-by-high-throughput-virtual-screening.pdf,HTTP 403 (publisher blocks scripted clients),W4378221424,1 PDF location(s) + Europe PMC tried; HTTPError: 403 Client Error: Forbidden for url: https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/646efb89be16ad5c57df9820/original/identification-of-new-inverted-singlet-triplet-cores-by-high-throughput-virtual-screening.pdf | no Europe 
