entry_id,structure_file,structure_provenance,compound_name,system_class,formula,metal_center,metal_ox_state,d_electron_count,ligand_set,point_group,geometry_source,method,software,basis_set,relativistic_treatment,soc_included,ss_included,active_space_nel,active_space_norb,active_space_orbital_description,active_space_protocol,multiplicities_studied,nroots_per_mult,ground_state_mult,electronic_structure_description,Other,reference_short,reference_doi,year,notes,correlation_correction,entry_type,mining_model,open_access,removed_reason,removed_at
W4293105066-b,,,[Zn-U-Zn] monomer model of the Mn(II)-U(V)-Mn(II) single-molecule magnet - extended restricted active space,molecule,,U,V,5f1,bridging framework linking the uranium(V) centre to two flanking metal sites,,,"CASSCF and RASSCF with spin-orbit coupling and subsequent perturbative correction (PT2), on diamagnetically substituted monomer models",MOLCAS 7.8,,,yes,,13,18,"13 electrons in 18 orbitals, extending well beyond the uranium 5f shell to include ligand-based orbitals","CAS(1,6) - the single 5f electron of U(V) in six orbitals - compared against a much larger RAS(13,18) that adds ligand-based orbitals; both computed with and without the PT2 correction",,,,"The same Zn-substituted monomer at RAS(13,18). Kramers doublets at RASSCF: KD1 0, KD2 918, KD3 6363, KD4 8844, KD5 11906 cm-1; with PT2: 0, 610, 6214, 8751 cm-1. Comparing with the CAS(1,6) row shows the larger space lowers KD2 by roughly 100-200 cm-1 while leaving the higher Kramers doublets within a few hundred wavenumbers - so the minimal 5f space is qualitatively adequate here but not quantitatively.","The direct CAS(1,6) versus RAS(13,18) comparison at matched geometry is the useful content: it puts a number on what enlarging an actinide active space actually changes.; SOC detail: yes (Kramers doublet energies from spin-orbit calculations are the observable)",Analysis of the Magnetic Coupling in a Mn(II)-U(V)-Mn(II) Single Molecule Magnet,10.1002/chem.202201883,2022,"Hand-supplied PDF, batch 4 (automated OA fetch had previously failed). The Zn-substituted monomer is the standard device for isolating the uranium single-ion physics from the Mn-U exchange. The CAS(1,6) versus RAS(13,18) comparison at both SCF and PT2 levels is unusually complete and is the reason both are recorded. formula, software and basis set are not stated in the sections read. reference_doi and year taken verbatim from papers_index.csv. Full-database schema audit (GPT-5.6, 2026-08-11): normalized verbose SOC/SS flags to yes/no and retained the original wording in Other. CORRECTION (second read 2026-08-19): the 'not stated' claim above is superseded for software - the paper does state it and the column is now filled from the paper's own sentence (evidence in logs/extractions.csv). Treat the remaining absence claims in this note as unverified.",CASPT2,llm_mining,claude-opus-5,yes,Same compound as W4293105066-a; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W2329654758-j,,,"H2C6O+ isomer B+, expanded-space result",molecule,H2C6O+,,,,,,CASPT2/CASSCF optimized candidate-isomer geometries compared to 6 K neon-matrix vibronic spectra.,CASSCF; CASPT2; MS-CASPT2,MOLCAS,cc-pVTZ,,,,12,12,expanded valence/frontier space,"CAS(9,9) ground-state geometry calculations; larger MS-CASPT2(11,11) excitation calculations with state averages documented per isomer in main text/SI.",2,,,,,Electronic absorption spectra of H2C6O+ isomers (2015),10.1021/jp509561v,2015,"GPT-5.6 comprehensive reread (2026-08-19): read all 6 article pages and all 4 SI pages, including spectra, ion-source chemistry, all candidate-isomer energies/transitions, oscillator strengths, charge/spin tables, conclusions, and references. Matrix bands at 497/354 nm are assigned to the first/second excited doublets of cyclic B+, while 528 nm belongs to chain ylide F+. The 14 AIMDb rows are candidate H2C6O+ isomers explicitly screened by MS-CASPT2; only B+ and F+ are observed carriers. Main PDF MD5 9c329c8edea67afa4e216b6e3a1bc714.",CASPT2,llm_mining,gpt-5.6,yes,Same compound as W2329654758-b; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W2329654758-k,,,"H2C6O+ isomer F+, expanded-space result",molecule,H2C6O+,,,,,,CASPT2/CASSCF optimized candidate-isomer geometries compared to 6 K neon-matrix vibronic spectra.,CASSCF; CASPT2; MS-CASPT2,MOLCAS,cc-pVTZ,,,,12,12,expanded valence/frontier space,"CAS(9,9) ground-state geometry calculations; larger MS-CASPT2(11,11) excitation calculations with state averages documented per isomer in main text/SI.",2,,,,,Electronic absorption spectra of H2C6O+ isomers (2015),10.1021/jp509561v,2015,"GPT-5.6 comprehensive reread (2026-08-19): read all 6 article pages and all 4 SI pages, including spectra, ion-source chemistry, all candidate-isomer energies/transitions, oscillator strengths, charge/spin tables, conclusions, and references. Matrix bands at 497/354 nm are assigned to the first/second excited doublets of cyclic B+, while 528 nm belongs to chain ylide F+. The 14 AIMDb rows are candidate H2C6O+ isomers explicitly screened by MS-CASPT2; only B+ and F+ are observed carriers. Main PDF MD5 9c329c8edea67afa4e216b6e3a1bc714.",CASPT2,llm_mining,gpt-5.6,yes,Same compound as W2329654758-f; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W3208491084-b,,,"tricyclo[4,2,0,0(2,5)]octa-3,7-diene compact pi active space",molecule,C8H8,none,,,,,"SA(6)-CASSCF(4,4)/ANO-S-VDZP optimized geometry",SA-CASSCF; CASPT2 and XMS-CASPT2 comparisons,OpenMolcas 19.11,ANO-S-VDZP,,no,,4,4,Four pi electrons in two pi and two pi* orbitals,"Compact (4,4) pi space; compared with a non-nested (8,7) space that adds two sigma/sigma* pairs while dropping the highest pi* orbital",1,6 equally weighted singlet roots,1,"Vertical singlet energies (eV), CASSCF/CASPT2/XMS-CASPT2: S1 8.43/6.50/6.51; S2 8.57/6.75/6.77; S3 8.77/6.95/7.22. The compact space omits sigma orbitals and mischaracterizes S2; perturbative correction improves energies but does not recover the missing sigma-pi* character.","This row is the explicitly reported compact-space comparison, not a QM/MM calculation.","Multiconfigurational Static and Dynamic Calculations Explain Tricyclo[4,2,0,02,5]octa-3,7-diene Photochemistry (2020)",10.26434/chemrxiv.12385940.v1,2020,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 20 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Photochemistry of tricyclo[4,2,0,0(2,5)]octa-3,7-diene, studied as a molecular solar-energy storage motif - sunlight stored in chemical bonds via photochemical reaction. The S0 to S1 vertical excitation is 6.25 eV and pi to pi* in character. Two non-nested active spaces are used: (4,4) with four pi electrons in two pi and two pi* orbitals, and (8,7) which adds two sigma/sigma* pairs but OMITS the highest-lying antibonding pi* orbital - so (8,7) trades a pi* orbital for sigma character rather than simply enlarging (4,4). Vertical singlet energies (eV), CASSCF/CASPT2/XMS-CASPT2: S1 8.43/6.50/6.51; S2 8.57/6.75/6.77; S3 8.77/6.95/7.22. The compact space omits sigma orbitals and mischaracterizes S2; perturbative correction improves energies but does not recover the missing sigma-pi* character. The (8,7) space follows the sigma-bond-breaking pathway; the reported S0->S1 vertical excitation is 6.25 eV. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 831234970bda007067a4f6d40c263c0a. Prior structured note retained: Manually mined by GPT-5.6 from the comprehensively reviewed supplied full text on 2026-08-06; the numerical active-electron/active-orbital pair is explicitly stated. Full-database source audit (GPT-5.6, 2026-08-11): reread methods, active-space construction, state treatment, results, and conclusions; corrected or enriched source-explicit fields.",CASPT2,llm_mining,gpt-5.6,yes,Same compound as W3208491084-a; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W4226357349-b,,,thioformaldehyde dynamics (compact active space),molecule,CH2S,none,,,,,optimized thioformaldehyde structure with Wigner-sampled initial conditions,state-averaged CASSCF followed by MC-PDFT and fewest-switches trajectory surface hopping with energy-based decoherence,SHARC molecular-dynamics package,cc-pVDZ with the Douglas-Kroll-Hess Hamiltonian,Douglas-Kroll-Hess Hamiltonian,yes,,10,6,Compact ten-electron/six-orbital space used in the earlier SA-CASSCF and MS-CASPT2 dynamics; its orbitals are shown in SI Figure S1,"CAS(10,6) compact dynamics space; compared directly with a larger CAS(12,10) MC-PDFT treatment","1,3",S1 and the three spin components of T2 in the intersystem-crossing dynamics,1,"MC-PDFT(10,6) gives S1/T1/T2 vertical energies of 2.35/2.03/3.58 eV and a T2-S1 gap of 1.23 eV, closely matching the benchmark gap of 1.22 eV. Its dynamics agree with the earlier MS-CASPT2(10,6) trajectories.","S1-to-T2 population transfer is driven by computed spin-orbit couplings modulated by the C-S bond length; the larger CAS(12,10) calculation reduces this transfer by a factor of about 7.5.",Nonadiabatic Molecular Dynamics by Multiconfiguration Pair-Density Functional Theory (2022),10.1021/acs.jctc.1c01048,2022,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 22 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. The first MC-PDFT nonadiabatic dynamics study uses SHARC thioformaldehyde trajectories and shows that the larger CAS(12,10) changes S1-to-T2 transfer by about a factor of 7.5 relative to CAS(10,6). Source PDF MD5 2959573ea7ff2c26916c9a49df8bc3e1. Prior structured note retained: Manually mined by GPT-5.6 from the comprehensively reviewed supplied full text on 2026-08-06; the numerical active-electron/active-orbital pair is explicitly stated. Full-database source audit (GPT-5.6, 2026-08-11): comprehensive reread of methods, active-space construction, state treatment, results, and conclusions; corrected or enriched source-explicit fields.",MC-PDFT,llm_mining,gpt-5.6,yes,Same compound as W4226357349-a; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W4255059988-b,,,Fe(II) porphyrin compact CASPT2/CC space,molecule,FeC20H12N4 (Fe(II) porphine model),Fe,II,3d6,porphine macrocycle,D4h idealized,"model based on the short-Fe-N triplet geometry, explicitly noted by the authors as biased toward the intermediate-spin state",CASSCF/CASPT2 with a CCSD(T) semi-core correction,OpenMolcas for CASSCF/CASPT2; MOLPRO and MRCC for CC/DC,,,no,,8,11,"Six electrons in the five Fe 3d orbitals, five correlating d-prime orbitals, and two electrons in one metal-ligand sigma-bonding orbital","CASPT2(8,11) for 3Eg and 5A1g, with frozen-versus-correlated Fe 3s/3p CCSD(T) differences used as a semi-core correction","3,5",3Eg and 5A1g states,3,"CASPT2(8,11) gives qualitatively wrong high-spin-favored ordering (+2.9 kcal/mol). Even adding the CCSD(T) semi-core correction yields only -0.7 kcal/mol, showing that the failure is not confined to semi-core correlation.","Paper-level audit finding: Spin gap between the intermediate-spin 3Eg and high-spin 5A1g states. CASSCF valence correlation in the (32,34) space is necessary to stabilize the intermediate spin state at all. Semi-core (3s,3p) correlation adds a quantitatively significant but smaller correction of about 1.5 kcal/mol. Accounting for both enlarges the (3Eg - 5A1g) gap to about -5 kcal/mol. Within the (32,34) space the gap depends on the coupled-cluster truncation: -3.1 kcal/mol at CAS(32,34) and CCSDT, -0.8 at CCSD, -2.6 at DCSD, -2.7 at CCSD(T) and -3.6 at CCSDTQ. CASPT2(8,11) gives qualitatively wrong high-spin-favored ordering (+2.9 kcal/mol). Even adding the CCSD(T) semi-core correction yields only -0.7 kcal/mol, showing that the failure is not confined to semi-core correlation. All CASSCF/Stochastic-CASSCF calculations used OpenMolcas; CC/DC calculations used MOLPRO and MRCC.",On the Role of Valence and Semi-Core Electron Correlation on Spin-Gaps in Fe(II)-Porphyrins (2018),10.26434/chemrxiv.7195370.v1,2018,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 20 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Spin gap between the intermediate-spin 3Eg and high-spin 5A1g states. CASSCF valence correlation in the (32,34) space is necessary to stabilize the intermediate spin state at all. Semi-core (3s,3p) correlation adds a quantitatively significant but smaller correction of about 1.5 kcal/mol. Accounting for both enlarges the (3Eg - 5A1g) gap to about -5 kcal/mol. Within the (32,34) space the gap depends on the coupled-cluster truncation: -3.1 kcal/mol at CAS(32,34) and CCSDT, -0.8 at CCSD, -2.6 at DCSD, -2.7 at CCSD(T) and -3.6 at CCSDTQ. CASPT2(8,11) gives qualitatively wrong high-spin-favored ordering (+2.9 kcal/mol). Even adding the CCSD(T) semi-core correction yields only -0.7 kcal/mol, showing that the failure is not confined to semi-core correlation. All CASSCF/Stochastic-CASSCF calculations used OpenMolcas; CC/DC calculations used MOLPRO and MRCC. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 ce35fb272234e614e3f63959ed96990f. Prior structured note retained: Manually mined by GPT-5.6 from the comprehensively reviewed supplied full text on 2026-08-06; the numerical active-electron/active-orbital pair is explicitly stated. Full-database source audit (GPT-5.6, 2026-08-11): comprehensive reread of methods, active-space construction, state treatment, results, and conclusions; corrected or enriched source-explicit fields.",CASPT2; CCSD(T) semi-core correction,llm_mining,gpt-5.6,yes,Same compound as W4255059988-a; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W4255059988-c,,,Fe(II) porphyrin valence-plus-semi-core Stochastic-CASSCF space,molecule,FeC20H12N4 (Fe(II) porphine model),Fe,II,3d6,porphine macrocycle,D4h idealized,"model based on the short-Fe-N triplet geometry, explicitly noted by the authors as biased toward the intermediate-spin state",Stochastic-CASSCF (FCIQMC-based) with active-space CC/DC comparisons,OpenMolcas for Stochastic-CASSCF; MOLPRO and MRCC for CC/DC,,,no,,40,38,"The CAS(32,34) valence space plus eight Fe 3s/3p semi-core electrons and four semi-core orbitals","Stochastic-CASSCF(40,38) with up to four billion FCIQMC walkers; CCSD, DCSD, CCSD(T), CCSDT, and CCSDTQ evaluated in the optimized active orbitals","3,5",3Eg and 5A1g states,3,"Explicit semi-core inclusion gives a CASSCF spin gap of -4.4 kcal/mol; active-space CCSD(T), CCSDT, and CCSDTQ give -3.9, -4.4, and -4.8 kcal/mol. The best estimate is about -5 kcal/mol in favor of the triplet.","The source treats the CAS(40,38) calculation as the controlled explicit-semi-core alternative to a combined CASPT2/CC correction.",On the Role of Valence and Semi-Core Electron Correlation on Spin-Gaps in Fe(II)-Porphyrins (2018),10.26434/chemrxiv.7195370.v1,2018,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 20 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Spin gap between the intermediate-spin 3Eg and high-spin 5A1g states. CASSCF valence correlation in the (32,34) space is necessary to stabilize the intermediate spin state at all. Semi-core (3s,3p) correlation adds a quantitatively significant but smaller correction of about 1.5 kcal/mol. Accounting for both enlarges the (3Eg - 5A1g) gap to about -5 kcal/mol. Within the (32,34) space the gap depends on the coupled-cluster truncation: -3.1 kcal/mol at CAS(32,34) and CCSDT, -0.8 at CCSD, -2.6 at DCSD, -2.7 at CCSD(T) and -3.6 at CCSDTQ. CASPT2(8,11) gives qualitatively wrong high-spin-favored ordering (+2.9 kcal/mol). Even adding the CCSD(T) semi-core correction yields only -0.7 kcal/mol, showing that the failure is not confined to semi-core correlation. All CASSCF/Stochastic-CASSCF calculations used OpenMolcas; CC/DC calculations used MOLPRO and MRCC. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 ce35fb272234e614e3f63959ed96990f. Prior structured note retained: Manually mined by GPT-5.6 from the comprehensively reviewed supplied full text on 2026-08-06; the numerical active-electron/active-orbital pair is explicitly stated. Full-database source audit (GPT-5.6, 2026-08-11): comprehensive reread of methods, active-space construction, state treatment, results, and conclusions; corrected or enriched source-explicit fields.",active-space CC/DC comparisons,llm_mining,gpt-5.6,yes,Same compound as W4255059988-a; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W1971812467-b,,,BH one-to-one active-space bond dissociation,molecule,BH,none,,,single X-H bond dissociation benchmark,,B-H scan from 0.80 to 4.80 A on the complete printed Table 1 grid,"CASSCF(4,4), SOCI(4,4), and nondiagonal-H0 CASPT2(4,4) on the full B-H dissociation curve","MOLCAS 5.2 (CASPT2); PSI 3.2 DETCAS/DETCI (CASSCF, CISD[TQ], SOCI)",cc-pVQZ,none specified,no,no,4,4,occupied valence orbitals plus one same-symmetry active virtual for each occupied valence orbital; 4/0/0/0 distribution; B 1s constrained doubly occupied,"a priori one-to-one/GVB-perfect-pairing construction, pairing each occupied valence orbital with one active virtual of the same symmetry",1,ground electronic state along the bond-stretch coordinate,1,One-to-one active-space benchmark against FCI; smaller than the BH full-valence space and less accurate.,Table 4 max/min/NPE (kcal/mol): CASSCF 51.27 at 0.80 A / 38.59 at 4.80 A / 12.68; SOCI 2.36 at 0.90 A / 0.82 at 4.00 A / 1.54; CASPT2 13.88 at 0.90 A / 10.62 at 3.60 A / 3.26. The missing b1/b2 orbitals degrade equilibrium dynamic correlation. CISD[TQ] is equivalent to SOCI here.,"Abrams and Sherrill, J. Phys. Chem. A 107, 5611-5616 (2003)",10.1021/jp034669e,2003,"GPT-5.6 comprehensively read all 6 supplied pages, including both active-space definitions, every point in Tables 1-3, the maximum/minimum/NPE summaries in Tables 4-6, all four figures, the full method comparison, conclusions, and references. No article-specific supplement is cited. FCI and unrestricted single-reference values were reviewed as benchmarks but not promoted to active-space entries. Every listed NPE is copied from the source, not recomputed from rounded table values.",SOCI and CASPT2 with nondiagonal zeroth-order operator,llm_mining,gpt-5.6,no,Same compound as W1971812467-a; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W1971812467-d,,,HF one-to-one active-space bond dissociation,molecule,HF,none,,,single X-H bond dissociation benchmark,,H-F scan from 0.70 to 4.00 A on the complete printed Table 2 grid,"CASSCF(8,8), RAS-CISD[TQ](8,8), SOCI(8,8), and nondiagonal-H0 CASPT2(8,8) on the full H-F dissociation curve","MOLCAS 5.2 (CASPT2); PSI 3.2 DETCAS/DETCI (CASSCF, CISD[TQ], SOCI)",6-31G**,none specified,no,no,8,8,occupied valence orbitals plus one same-symmetry active virtual apiece; eight orbitals distributed as 4/0/2/2; F 1s constrained doubly occupied,a priori one-to-one/GVB-perfect-pairing construction; this is the larger and preferred HF space,1,ground electronic state along the bond-stretch coordinate,1,Large one-to-one HF active-space benchmark against FCI; gives the smallest HF NPEs.,Table 5 max/min/NPE (kcal/mol): CASSCF 44.96 at 2.80 A / 40.13 at 0.70 A / 4.83; CISD[TQ] 1.41 at 4.00 A / 0.54 at 0.70 A / 0.87; SOCI 0.48 at 1.40 A / 0.44 at 2.40 A / 0.04; CASPT2 3.85 at 1.40 A / 3.35 at 0.70 A / 0.50. SOCI's 0.04 kcal/mol NPE is the best result in the paper.,"Abrams and Sherrill, J. Phys. Chem. A 107, 5611-5616 (2003)",10.1021/jp034669e,2003,"GPT-5.6 comprehensively read all 6 supplied pages, including both active-space definitions, every point in Tables 1-3, the maximum/minimum/NPE summaries in Tables 4-6, all four figures, the full method comparison, conclusions, and references. No article-specific supplement is cited. FCI and unrestricted single-reference values were reviewed as benchmarks but not promoted to active-space entries. Every listed NPE is copied from the source, not recomputed from rounded table values.","RAS-CISD[TQ], SOCI, and CASPT2 with nondiagonal zeroth-order operator",llm_mining,gpt-5.6,no,Same compound as W1971812467-c; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W1974807996-c,,,trans-HPPH two-configuration Mk-MRCC reference,molecule,P2H2,,,,,C2h trans minimum; C2v cis minimum; C2 rotational transition state,"method- and basis-specific optimized geometries reported graphically in Figures 2, 3, and 6; no Cartesian coordinates","TCSCF/CASSCF(2,2) reference followed by state-specific Mk-MRCCSD",MOLPRO 2006.1; MAB-ACESII; PSI3/MCSCF/PSIMRCC,"cc-pVDZ, cc-pVTZ, and cc-pVQZ",none stated,no,no,2,2,frontier pi bonding/HOMO and pi antibonding/LUMO orbitals,"Build a two-configuration SCF reference in the frontier pi pair, transform to natural orbitals, and add state-specific Mukherjee multireference coupled-cluster singles and doubles.",1,one ground-state singlet root,1,"Closed-shell trans/cis minima are predominantly single-reference, whereas the 90-degree rotational transition state has two nearly equal configurations differing by the occupied pi pair.",Mk-MRCCSD trans-HPPH energies (cc-pVDZ/cc-pVTZ/cc-pVQZ) are -682.887132/-682.974905/-683.000833 Eh. The source uses this compact reference to recover coupled-cluster-quality minimum energies while retaining the rotationally changing pi occupations.,"Lu et al., J. Phys. Chem. A 113, 13227-13236 (2009)",10.1021/jp904028a,2009,"GPT-5.6 comprehensively read all 10 article pages, including every electronic-configuration and wavefunction expansion, structure/orbital rendering, basis/active-space comparison, frequency, energy, dipole, rate/tunneling result, conclusion, and reference. The article cites no Supporting Information, and an exact ACS Figshare resource-DOI query returned no supplement. No Cartesian coordinates are provided. Exact DOI OpenAlex check: closed/no OA.",state-specific Mk-MRCCSD,llm_mining,gpt-5.6,no,Same compound as W1974807996-a; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W1974807996-d,,,cis-HPPH two-configuration Mk-MRCC reference,molecule,P2H2,,,,,C2h trans minimum; C2v cis minimum; C2 rotational transition state,"method- and basis-specific optimized geometries reported graphically in Figures 2, 3, and 6; no Cartesian coordinates","TCSCF/CASSCF(2,2) reference followed by state-specific Mk-MRCCSD",MOLPRO 2006.1; MAB-ACESII; PSI3/MCSCF/PSIMRCC,"cc-pVDZ, cc-pVTZ, and cc-pVQZ",none stated,no,no,2,2,frontier pi bonding/HOMO and pi antibonding/LUMO orbitals,"Build a two-configuration SCF reference in the frontier pi pair, transform to natural orbitals, and add state-specific Mukherjee multireference coupled-cluster singles and doubles.",1,one ground-state singlet root,1,"Closed-shell trans/cis minima are predominantly single-reference, whereas the 90-degree rotational transition state has two nearly equal configurations differing by the occupied pi pair.","Mk-MRCCSD cis-HPPH energies (cc-pVDZ/cc-pVTZ/cc-pVQZ) are -682.881902/-682.969709/-682.995548 Eh, giving electronic trans-cis gaps of 3.28/3.26/3.32 kcal/mol.","Lu et al., J. Phys. Chem. A 113, 13227-13236 (2009)",10.1021/jp904028a,2009,"GPT-5.6 comprehensively read all 10 article pages, including every electronic-configuration and wavefunction expansion, structure/orbital rendering, basis/active-space comparison, frequency, energy, dipole, rate/tunneling result, conclusion, and reference. The article cites no Supporting Information, and an exact ACS Figshare resource-DOI query returned no supplement. No Cartesian coordinates are provided. Exact DOI OpenAlex check: closed/no OA.",state-specific Mk-MRCCSD,llm_mining,gpt-5.6,no,Same compound as W1974807996-b; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W1972992523-g,,,"CoII-NC-WV fragment with three +1.5 point charges, extended CAS(14,9)",molecule,[CoWC11N11H4O2]4-,Co; W,CoII; WV,Co d7; W d1,[(H2O)2(CN)3Co(NC)W(CN)7]4- with one Co-NC-W bridge,idealized Cs; experimental C1 checks,Cs-symmetrized fragment based on crystallographic distances; water plane 8 degrees unless noted; experimental C1 and water/Co-O variants tested,"CASSCF(14,9)/CASPT2 with PC(+1.5) embedding",MOLCAS 6.0,"effective-core-potential basis sets for Co and W; ANO-S for C,N,O (specific ECP contractions not stated)",Co/W effective core potentials; Table 2 explicitly states relativistic effects included,no,no,14,9,"CAS(8,6) metal space plus three explicitly occupied orbitals (six additional active electrons); the paper does not give more specific labels for these three orbitals",Active orbitals selected to resolve Co/W magnetic configurations and cyanide-mediated exchange; environmental W sites are represented by point charges or Cs+/Ba2+ AIMPs because explicit inclusion exceeds the MOLCAS CASSCF limits.,3; 5,"four spin-free roots: 3A-prime, 3A-double-prime, 5A-prime, 5A-double-prime",5,"Embedding controls whether the Co dx2-y2 orbital that overlaps the W magnetic orbital is singly or doubly occupied, and therefore switches the leading exchange from antiferromagnetic to ferromagnetic.","Most reliable exchange calculation. Table 2 CASSCF/CASPT2 energies (cm-1): 3A'=-777/230, 3A''=5/11, 5A'=-767/285, 5A''=0/0. The CASPT2 quintet-triplet gap is 11 cm-1, corresponding to ferromagnetic J=5.5 cm-1 under H=-J S1.S2; experiment-derived mean-field J is about 6 cm-1. Natural occupations show the Co dx2-y2 orbital doubly occupied, removing the dominant antiferromagnetic channel.","Clima et al., Inorg. Chem. 46, 2682-2690 (2007)",10.1021/ic062345+,2007,"GPT-5.6 comprehensively read all 9 article pages and all 6 publisher-SI pages, including every ligand-field term, active-space/environment variant, occupation number, orbital rendering and coefficient table, exchange analysis, spin-orbit/Kramers spectrum, susceptibility and magnetization comparison, conclusions, and references. The SI was downloaded from ACS Figshare file 24083279. CAS(7,10) is an arithmetic restatement of CoII d7 in the explicitly stated five-3d/five-4d double shell. The paper's '8i6', '14i9', and SI '8i12' labels are normalized to CAS(8,6), CAS(14,9), and CAS(8,12); the six extra orbitals of CAS(8,12) are not enumerated by the source and are therefore not guessed here. No Cartesian coordinates are supplied.",CASPT2 dynamic correlation,llm_mining,gpt-5.6,no,Same compound as W1972992523-d; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
W1972992523-i,,,"CoII-NC-WV binuclear fragment with Ba2+ AIMP, SI CAS(8,12)",molecule,[CoWC11N11H4O2]4-,Co; W,CoII; WV,Co d7; W d1,[(H2O)2(CN)3Co(NC)W(CN)7]4- with one Co-NC-W bridge,idealized Cs; experimental C1 checks,Cs-symmetrized fragment based on crystallographic distances; water plane 8 degrees unless noted; experimental C1 and water/Co-O variants tested,"CASSCF(8,12) active-orbital sensitivity calculation with Ba2+ AIMP",MOLCAS 6.0,"effective-core-potential basis sets for Co and W; ANO-S for C,N,O (specific ECP contractions not stated)",Co/W effective core potentials; Table 2 explicitly states relativistic effects included,no,no,8,12,twelve-orbital active space designated '8i12' in SI; only six frontier Co/W d combinations are explicitly tabulated,Active orbitals selected to resolve Co/W magnetic configurations and cyanide-mediated exchange; environmental W sites are represented by point charges or Cs+/Ba2+ AIMPs because explicit inclusion exceeds the MOLCAS CASSCF limits.,5,quintet active-orbital analysis,,"Embedding controls whether the Co dx2-y2 orbital that overlaps the W magnetic orbital is singly or doubly occupied, and therefore switches the leading exchange from antiferromagnetic to ferromagnetic.","SI-only embedded active-space test. Quintet frontier orbital energies (Eh), orbitals 34/35/61/62/63/64: -0.7649/-0.3856/-0.7593/-0.3416/-0.3206/-0.1828. Comparison with unembedded CAS(8,12) and CAS(8,6) shows the large AIMP stabilization and rehybridization of Co t2g-like orbitals; no state-energy gap is supplied for this test.","Clima et al., Inorg. Chem. 46, 2682-2690 (2007)",10.1021/ic062345+,2007,"GPT-5.6 comprehensively read all 9 article pages and all 6 publisher-SI pages, including every ligand-field term, active-space/environment variant, occupation number, orbital rendering and coefficient table, exchange analysis, spin-orbit/Kramers spectrum, susceptibility and magnetization comparison, conclusions, and references. The SI was downloaded from ACS Figshare file 24083279. CAS(7,10) is an arithmetic restatement of CoII d7 in the explicitly stated five-3d/five-4d double shell. The paper's '8i6', '14i9', and SI '8i12' labels are normalized to CAS(8,6), CAS(14,9), and CAS(8,12); the six extra orbitals of CAS(8,12) are not enumerated by the source and are therefore not guessed here. No Cartesian coordinates are supplied.",CASPT2 dynamic correlation,llm_mining,gpt-5.6,no,Same compound as W1972992523-f; protocol/method/active-space variant consolidated during database-wide audit,2026-08-20T15:23:29Z
